hoa_label,latitude,longitude,legalAcreage,imprvActualYearBuilt,ShapeSTLength,ShapeSTArea,improvementValue,propType,situs_city,compactness,has_sidewalk
1.0,33.16333650129948,-97.17401271519584,0.141,2023.0,342.9744836612438,6081.188042391265,270376.0,R,ARGYLE,19.34350584502586,False
1.0,33.18272002029335,-96.95832130314344,0.1435,2019.0,356.6838461883339,6494.577453372943,267811.0,R,LITTLE ELM,19.589167585587862,False
1.0,33.019980454729186,-97.2953198243376,0.1285,2016.0,315.291663480736,5469.474873594354,275151.0,R,FORT WORTH,18.175206095264784,False
1.0,33.13378613751248,-96.91911261091144,0.114,2014.0,306.9026286957808,4812.929158256118,309419.0,R,FRISCO,19.57004152841263,False
1.0,33.16872175238485,-97.07936125696186,0.126,2015.0,320.28190327668005,5507.040569238854,207036.0,R,DENTON,18.62715487144316,True
1.0,33.23817690393718,-97.14719347113407,0.3,2019.0,462.4849497816198,13069.729127057191,364494.0,R,DENTON,16.36547526694364,False
1.0,33.25276739187543,-96.94674456084412,0.1761,2020.0,362.7956018804271,7654.799531639424,247180.0,R,AUBREY,17.19452589186124,False
1.0,33.161316558524206,-96.92182628682484,0.166,2018.0,355.1213184791691,7243.049701673717,214828.0,R,FRISCO,17.411333075519526,False
0.0,33.20773517517363,-96.92995307988484,11.2444,0.0,4150.297982811792,507929.7645780682,0.0,R,LITTLE ELM,33.912116492011904,False
1.0,33.26965227977484,-96.84249173532558,0.265,2021.0,446.0953469312737,11452.09621578608,439097.0,R,PROSPER,17.37682384116032,False
0.0,33.08342841172845,-97.3645786187641,0.88,0.0,1882.7701552423337,36641.756443458646,0.0,R,JUSTIN,96.74272746562262,False
1.0,33.25512803589991,-96.9694481677837,0.154,2022.0,349.37505574170564,6711.111523550464,309982.0,R,,18.18818375259892,False
1.0,33.054649725499935,-96.88624923976452,0.143,2018.0,349.3649265813581,6260.505407068318,369543.0,R,CARROLLTON,19.496165882612704,False
1.0,33.03292776733113,-97.38002037961348,0.1673,2021.0,352.14237407966766,7310.019600216291,257580.0,R,HASLET,16.963600428485243,False
1.0,33.36320090306702,-97.16167925651828,0.1885,2017.0,369.4501264963384,8188.999553179954,232282.0,R,SANGER,16.667896375102046,False
1.0,33.21103594564914,-96.94109385211922,0.271,2021.0,473.6012006576045,11809.79286651114,470923.0,R,LITTLE ELM,18.992551334271365,False
0.0,33.0327618145221,-97.12376413018174,164.75,1983.0,15954.9515318809,7075303.064587322,191528.0,R,FLOWER MOUND,35.97873844567481,False
1.0,33.140682134941635,-96.9149145510831,0.114,2013.0,311.6124010416442,4940.6388775115165,256363.0,R,FRISCO,19.65379192657097,False
1.0,33.105804917246026,-97.11670858774632,0.1502,2006.0,360.4424911343394,7273.3605290276355,454458.0,R,ARGYLE,17.862278227049053,False
1.0,33.26701459518312,-96.90706301281912,0.138,2021.0,339.2054102718338,5983.225083798477,381295.0,R,AUBREY,19.230483350734406,False
1.0,33.243288737820336,-96.9052446644038,0.165,2021.0,360.41334091673167,7177.140413051586,374021.0,R,AUBREY,18.098820537848464,False
1.0,33.00189094898225,-97.17949759140626,0.2789,2014.0,453.1790782658561,12247.53015703481,1534467.0,R,TROPHY CLUB,16.76838304088017,False
1.0,33.18394670906561,-96.86554645843364,0.1604,2011.0,366.5860941894682,6914.789557342888,338552.0,R,FRISCO,19.434483629423607,False
1.0,33.30621098377227,-96.88756465457764,0.1467,2023.0,342.0311996594188,6445.438500984377,203304.0,R,,18.15009816982889,False
0.0,33.14386347992829,-97.09654734480944,1.698,0.0,1925.9373573584087,75112.3671683108,0.0,R,,49.38247647231097,True
1.0,33.048279001855406,-97.33106178956284,0.1711,2022.0,349.9542749353872,7436.342452533623,278249.0,R,JUSTIN,16.468848137006752,False
1.0,33.09884714932582,-97.24655370940066,0.163,2023.0,356.3676994614549,7143.047297470592,50814.0,R,NORTHLAKE,17.779237898147585,False
1.0,33.034898844926126,-97.38542507881635,0.132,2022.0,329.9770813959175,5748.669618325276,234140.0,R,,18.940882234642785,False
1.0,33.183730425966985,-96.97644515480856,0.178,2019.0,368.0133649222701,7666.797497975042,279425.0,R,OAK POINT,17.664981603750824,False
1.0,33.20320966323702,-96.92011323368028,0.1641,2016.0,349.3024070506248,7076.417038392835,313556.0,R,LITTLE ELM,17.242083233561264,False
1.0,33.209840098896095,-96.88495531160817,0.176,2020.0,360.00622169627576,7529.777485104157,689391.0,R,FRISCO,17.21225891686961,False
1.0,33.22761816034121,-96.97294960400444,0.1392,2020.0,333.12069501222413,6169.207527983886,272241.0,R,AUBREY,17.98762595391119,False
1.0,33.03080999483297,-96.85416558991903,0.0283,2020.0,156.7478531197688,1260.8299458645804,389397.0,R,CARROLLTON,19.487076380319053,False
1.0,33.27379121079358,-96.89991628990376,0.145,2024.0,351.74394766703443,6275.630832449352,309193.0,R,AUBREY,19.7149590254181,False
